"super tranquilo e a entrega foi rápida","2015-12-09 12:57:07"
"a loja poderia ter para vender o vidrinho reserva","2015-12-09 13:03:28"
"otima loja, entrega muito rapida, apenas 48 hs depois da compra, muito bom mesmo.","2015-12-09 13:05:10"
"ótimo atendimento","2015-12-09 13:07:42"
"muito rápido e eficiente ","2015-12-09 13:12:51"
"Excelente e confiável. O prazo de entrega que é um pouco alto por ser apenas por PAC.","2015-12-09 13:13:51"
"entrega rapida
bastante opções
","2015-12-09 13:14:27"
"Muito Bom","2015-12-09 13:15:05"
"foi bom so que demorou muito chegar e nao me entrgaram o produto em casa tive  que buscar no correio.","2015-12-09 13:18:37"
"A compra foi bem segura e a entrega foi bem rápida, antes do tempo estimado.","2015-12-09 13:21:42"
"ótima.
Entrega rápida!","2015-12-09 13:25:33"
"demorou um pouco,mas aculpa foi do correio, estou muito satisfeito com a qualidade dos produtos que nosso parceria dure,agradeça ao jason doprojeto giga q foi a confiança qele passou dosite q comecei a comprar","2015-12-09 13:24:25"
"perfeito. Tudo embalado com carinho e responsabilidade. Chegou em tres dias","2015-12-09 13:20:53"
" muito bom. 
gostei","2015-12-09 13:37:28"
"Super recomendo! Chegou muito rapido!","2015-12-09 13:42:24"
"Fui atendida conforme as expectativas, com agilidade e eficiência.","2015-12-09 13:42:46"
"entrega dentro do prazo, porém propagando de dupla interpretação. Pois gillette mach3 4 cartucho 4 unidades...","2015-12-09 13:47:10"
"Muito bom. Atendeu as expectativas, com excessão da entrega, que deveria ser mais rápida, levando em consideração minha localização.","2015-12-09 13:47:44"
"Ainda não achei nada pois NÃO RECEBEMOS A MERCADORIA","2015-12-09 13:46:50"
"Muito rápido a entrega e confiável e atenciosos, rsrsrs...","2015-12-09 13:48:44"
"Aparelho veio com problema no slot do chip, faz uma semana que mando emails e ligo para empresa e até agora sequer fui atendido ! Descaso! Pós venda deixando o cliente muitíssimo na mão e indignado !","2015-12-09 13:51:52"
"Produto chegou certinho e bem embalado, porém acredito que não seja só o problema da tela, pois não deu tela e o cliente não quis prosseguir, mas muito obrigado! Continuaremos a negociar com certeza!","2015-12-09 13:53:40"
"Gostei,entrega rápida.
Loja confiável.","2015-12-09 13:56:34"
"Sensacional","2015-12-09 13:55:39"
"Eu achei que foi fácil,entrega rápida e o produto de excelente qualidade,parabéns","2015-12-09 14:09:55"
"Fiquei super satisfeita, entrega super rápida!!","2015-12-09 14:10:18"
"incrível!grande qualidade e parabéns a equipe Boticário pelo trabalho feito e o atendimento de qualidade ","2015-12-09 14:13:37"
"Produto muito bom. Ótimo custo beneficio. Peguei chuva forte com ela e segurou na boa, só no punho que entrou um pouco de água pela luva.Entrega super rápida.","2015-12-09 14:19:38"
"tudo perfeito!","2015-12-09 14:21:24"
"Perfeita!","2015-12-09 14:30:24"
"Como sempre rápidos na entrega. Infelizmente não veio nenhuma amostrinha...","2015-12-09 14:31:40"
"A entrega foi mais rápida que a previsão e veio tudo em ordem.
Recomendo!","2015-12-09 14:32:53"
"Muito bom produto. Entrega e embalagem ótimas. A mesma veio com uma saliência ao lado do indicador de bateria, nada que comprometa a utilização e eficiência do produto.","2015-12-09 14:35:13"
"EU ACHO VOCÊS SÃO MUITO RESPONSÁVEIS.
ESTOU MUITO SATISFEITA.","2015-12-09 14:37:35"
"foram atenciosos me responderam via face,a compra foi efetuada e a entrega feita no prazo estou satisfeito com o atendimento  ","2015-12-09 14:35:37"
"NÃO RECEBI O PRODUTO NO PRAZO","2015-12-09 14:36:38"
"entrega cumprida com o prometido...continuarei sendo cliente!!!","2015-12-09 14:38:19"
"top.","2015-12-09 14:40:46"
"bom este sait recomendo satisfeito","2015-12-09 14:46:00"
"Parabéns pelo produto e toda sua logística!!!","2015-12-09 14:42:44"
